firstname,lastname,exam1grade,exam2grade,exam3grade
David,Martinez,69,90,60
Denise,Mitchell,72,71,60
Mary,Stafford,55,93,65
Albert,Sawyer,60,100,74
Ricky,Barnes,86,96,58
Stephanie,Carr,53,70,85
Craig,Kent,100,100,95
Richard,Jones,98,84,88
Rebecca,Love,90,92,68
Jennifer,Wilson,69,54,61
John,Schroeder,88,69,86
Alicia,Richardson,73,74,71
Zachary,Johnson,60,52,61
Brian,Hernandez,85,50,87
Colleen,Phillips,51,77,54
John,Suarez,60,84,68
Tony,Gillespie,63,71,97
William,Potts,56,82,62
Megan,Stein,82,78,58
Colton,Johnson,88,100,74
Dawn,Mcguire,65,62,94
Joseph,Sanchez,73,61,88
Tyler,Fowler,91,97,74
Christopher,Lewis,86,83,80
Holly,Powers,68,69,79
Angel,Cooke,94,53,92
Luis,Sloan,56,58,91
Brian,Smith,91,94,67
David,Hoffman,55,56,55
Mary,Bowen,63,92,54
Marcus,Lamb,99,72,58
Andrew,Craig,57,55,95
Roger,Randall,51,81,71
Mathew,Serrano,96,61,66
Catherine,Lopez,83,83,89
Michelle,Poole,79,79,86
Jennifer,Cox,63,80,94
Stephanie,Dennis,92,84,83
Ashley,Mejia,89,58,68
Kelly,Richardson,95,99,64
Oscar,Payne,51,50,96
Christopher,Blake,95,68,93
Benjamin,Kim,64,94,92
Brandon,Armstrong,90,92,55
Kenneth,Huynh,55,60,63
Jason,Garcia,61,85,55
James,Hoffman,95,72,85
Sandy,Gonzales,78,97,88
Barbara,Hooper,53,56,81
Nicole,Dean,51,85,83
Desiree,Wright,78,97,97
John,Riley,96,61,55
Kimberly,Wang,89,56,67
Christopher,Bennett,77,91,68
Curtis,Gutierrez,66,67,66
Julie,Zhang,69,76,61
Dean,Shaw,91,77,58
Erica,Weeks,66,54,58
David,Taylor,60,56,71
Dennis,Colon,59,59,76
Herbert,Sullivan,77,69,77
Deanna,Austin,72,92,73
Samantha,Pace,73,60,76
Angela,Glover,59,83,71
Angel,Hendricks,72,99,72
Danny,Orr,85,59,70
Leslie,Holland,84,93,86
Fernando,Reynolds,96,87,90
Joseph,Ramirez,59,100,84
Johnathan,Mcdonald,97,64,56
Kyle,Johnson,92,78,83
Ariel,Williams,91,79,91
Mitchell,Parrish,98,88,60
Jessica,Valdez,66,90,78
Mario,Hendrix,84,56,52
Jeremiah,Green,75,84,50
Brian,Brady,56,58,77
Derrick,Hoffman,74,51,94
Kevin,Wilson,71,85,100
Darrell,Bowman,52,54,98
John,Macias,68,88,95
Suzanne,Brewer,73,54,78
David,Perkins,82,71,93
Jeffrey,Evans,52,72,53
Christine,Smith,52,50,100
Leon,Curtis,55,83,88
Ronald,Holmes,67,66,63
Justin,Ramirez,98,75,99
Stephanie,Miles,80,69,75
Allison,Duncan,55,58,59
James,Shaw,94,75,67
Samantha,Hebert,89,81,89
Justin,Smith,78,92,89
Jennifer,Boone,76,82,80
Julia,Green,76,95,91
Cassandra,Morrison,61,72,81
Christina,Allen,58,76,66
Gordon,Myers,63,72,75
Kristopher,Roman,69,73,61
Joseph,Riley,70,62,95
Ruben,Smith,96,83,56
Caleb,Andrews,80,87,66
Jason,Schmidt,86,75,73
Angela,Hernandez,66,51,73
Michael,Harris,83,60,72
Danielle,Gardner,76,71,55
Ronald,Martinez,60,67,54
David,Huerta,91,62,70
Justin,Collier,73,70,63
Zachary,Washington,87,79,50
Antonio,Martinez,52,72,98
Kevin,Warner,89,55,86
Summer,Casey,72,93,50
Taylor,Lee,80,52,84
James,Garcia,82,85,86
Alexandra,Mendoza,98,86,62
Kenneth,Duran,76,75,59
Richard,Smith,63,99,61
Lisa,Craig,90,80,54
Denise,Cervantes,56,78,54
Helen,Hall,78,61,88
Michael,Mitchell,58,58,50
Julia,Trevino,81,50,50
Cindy,Hahn,89,53,89
Diane,Robinson,58,67,64
Kenneth,Miranda,98,68,51
Steven,Wright,84,55,76
Brittany,Buchanan,67,87,79
Lisa,Morgan,64,73,57
Mark,Saunders,75,61,54
Rebecca,Robertson,66,59,67
John,Beck,88,52,69
Karina,Chase,52,67,89
Margaret,Vasquez,51,91,76
Robert,Johnston,63,74,70
April,Faulkner,52,90,78
Carla,Wilson,65,69,58
Kimberly,Ramirez,76,66,65
Gloria,Woodard,70,69,71
Blake,Shaw,87,65,50
Douglas,Hobbs,82,75,51
Dennis,Lin,99,72,95
Laurie,Lee,64,66,76
Heather,Hooper,92,70,66
Edward,Brown,57,72,90
Tracy,Wright,96,51,79
Matthew,Barnes,79,66,54
Dwayne,Cohen,91,61,58
Leslie,Phillips,74,89,62
Mackenzie,King,50,99,88
Martin,Kelly,93,74,69
Kyle,Cooper,84,76,68
Katherine,Smith,84,97,97
Tammy,Crosby,60,62,76
James,Parker,100,81,53
Keith,Potter,66,94,60
Lisa,Andrews,65,54,78
Angelica,Martinez,65,73,64
Tracey,Lopez,91,59,58
Wendy,Glover,77,55,90
Heidi,Perez,93,72,58
Cynthia,Baker,85,62,51
Caroline,Perry,86,91,96
Whitney,Silva,59,75,69
Stacey,Fox,81,54,76
Sara,Tran,83,50,66
Rhonda,Castillo,70,80,97
Bryan,Rivera,82,61,71
Theresa,Ortega,82,59,55
Joshua,Ibarra,56,98,74
Sheila,Johnson,83,90,68
Mark,Carrillo,83,94,58
Maria,Evans,56,83,76
Charlene,Harris,55,87,86
James,Davis,91,58,86
Kristy,Cruz,79,79,56
Charles,Vincent,54,71,68
Krista,Cole,87,73,70
Brian,Montes,53,59,93
Linda,Morrison,67,51,96
Monica,Dixon,90,84,81
Juan,Clark,78,97,91
Riley,Wallace,73,93,72
Nicole,Cook,82,80,62
Michael,Allison,82,70,77
Lori,Yang,77,68,79
Samantha,Miller,80,99,99
Carl,Miller,65,95,89
Madison,Burns,99,87,78
Jeffrey,Combs,92,83,59
Lauren,Sanchez,74,82,88
Devon,Shaw,68,97,56
Cameron,Burns,83,63,78
Joshua,Porter,78,83,86
Samantha,Beard,87,88,50
Teresa,Harper,83,94,79
Brooke,Smith,55,58,92
Brittany,Alexander,64,92,71
Marc,Anderson,52,74,96
Kristina,Cameron,96,96,63
Sara,Ortiz,99,100,74
Stephanie,Holmes,58,97,84
Jonathan,Hall,98,99,75
Gregory,Mcmillan,56,51,55
Christopher,George,61,53,75
Sarah,Thompson,100,74,72
Holly,Martinez,87,70,64
Kimberly,Johnson,79,57,81
Samuel,Robles,82,95,63
Emily,Duarte,85,67,88
Christopher,Woodard,75,57,75
Kenneth,Acevedo,65,57,99
Andrea,Woodward,86,98,59
Katie,Miller,77,84,55
Larry,Dyer,91,60,73
Jonathan,Richards,67,83,60
Lynn,Kelly,78,82,77
Bradley,Castillo,79,99,60
Patricia,Wu,77,78,56
Thomas,Palmer,83,64,52
Mary,Palmer,64,61,59
Danielle,Whitaker,66,87,95
Jennifer,Olsen,64,84,52
Mackenzie,White,98,59,65
Larry,Gutierrez,76,70,63
Lisa,Hernandez,55,88,68
Lisa,Hall,80,50,99
Phillip,Graham,55,52,70
Rebecca,Olson,61,100,99
David,Luna,76,89,93
Lisa,Walter,81,65,77
Janet,Alvarado,90,87,75
Jennifer,Wilcox,55,86,87
Steven,Schneider,66,69,95
Michael,Price,61,54,91
Rebecca,Choi,76,50,99
Lauren,Lucas,86,93,91
Brittany,Johnson,92,100,76
John,Smith,72,59,61
William,Morgan,67,68,63
Bradley,Diaz,65,56,59
Jon,Clark,57,77,89
James,Torres,56,97,83
Melinda,Aguirre,96,71,50
Samantha,Nguyen,92,64,80
Vanessa,Harper,63,61,98
Andres,Reid,95,74,66
Whitney,Cox,87,89,77
Gregory,Fischer,89,74,52
Sonia,Robertson,53,61,98
Lorraine,Berg,56,70,51
Spencer,Cook,55,90,58
Megan,Kidd,73,71,75
Alex,Turner,84,88,62
Timothy,Martin,69,52,54
Jerry,Arnold,92,87,98
Chad,Kaiser,73,95,91
Alexandra,Ball,96,61,99
Antonio,Watson,83,84,70
Sherri,Myers,76,54,53
Tiffany,Osborne,73,91,61
Amber,Wilkins,50,97,75
Chad,Morris,87,57,98
Patricia,Schaefer,58,75,63
Janice,Wiley,89,54,61
Randy,Wilson,58,73,82
Tyler,Jones,77,63,100
Stacie,Skinner,100,56,61
Brian,Harris,100,61,70
Wendy,Merritt,61,62,75
Regina,Smith,60,76,64
Brian,Jarvis,79,84,58
Dwayne,Weber,64,87,54
Dana,Jones,91,60,99
Kelsey,Romero,97,89,99
Stephen,Grant,89,74,83
Jacqueline,Dennis,84,73,62
Eric,Phillips,55,55,73
Mike,Jones,67,62,70
Keith,Lopez,62,89,66
Corey,Waters,100,98,68
Jennifer,Williams,76,94,89
Michael,Kane,81,79,96
Jonathan,Thomas,80,95,52
Anne,Romero,78,50,83
Timothy,Myers,51,80,62
Daniel,Warren,83,86,76
Lisa,Thomas,99,73,55
Crystal,Simpson,93,88,70
Veronica,Murillo,95,93,85
Alexis,Bruce,98,69,97
Jeremy,Johns,92,54,86
Michelle,Stone,100,88,97
Jessica,Evans,85,90,81
John,Jones,80,82,86
Heather,Welch,91,74,67
Thomas,Payne,85,56,57
Jason,Gonzalez,75,71,51
Justin,Payne,59,88,86
Danielle,Reed,70,59,56
Todd,Brandt,99,78,83
Bruce,Dillon,86,66,76
Jermaine,Thomas,86,73,81
Mario,Austin,86,79,89
Jonathan,Moore,93,97,50
Amanda,Lewis,80,87,83
George,Rodriguez,80,90,50
Michael,Diaz,65,62,81
Michael,Hamilton,56,82,71
Kimberly,Lloyd,72,85,55
Micheal,Sullivan,94,97,50
Jamie,Lynch,51,59,74
Pamela,Powell,80,92,73
April,Hampton,50,69,70
Donald,May,83,84,56
Melody,Brown,51,97,73
Adam,Wheeler,53,98,56
Robert,Johnson,61,70,76
Matthew,Arnold,88,70,67
Connie,White,64,71,97
Keith,Franklin,55,56,83
Jose,Chavez,82,56,66
Steven,Small,85,79,95
Ashley,Miller,62,83,84
Alicia,Petty,84,83,96
Stacy,Smith,78,74,73
Marcus,Martinez,96,66,99
Jennifer,Miller,52,80,87
Michael,Miller,52,52,65
Bethany,Vasquez,67,94,59
Sarah,Wood,93,57,95
Alexis,Williams,61,81,91
Richard,Fields,71,69,98
Angela,Baldwin,60,74,73
Jamie,Williams,56,73,96
Michael,Miller,95,74,88
Monique,Huffman,50,73,79
Michelle,Lucero,91,84,76
Adam,Ford,67,91,59
Michael,Li,51,87,51
Jason,Miller,62,85,56
Wanda,Young,66,59,62
Melissa,King,52,81,52
Sara,Gonzalez,93,74,91
Amanda,Yates,73,56,65
Kristi,Stanton,91,54,98
Eric,Johnson,95,94,70
Kayla,Brown,100,73,78
Laura,West,64,79,73
Rachel,Farmer,54,97,94
Kevin,Blake,92,62,57
Caleb,Johnson,88,70,60
Laurie,Vargas,92,95,52
Gina,Payne,52,67,64
Lisa,Chavez,51,84,98
Jeremy,Brooks,93,85,73
Elizabeth,Little,52,50,98
Lori,Barber,63,61,99
Nicole,Blanchard,94,98,61
Gerald,Campbell,71,70,52
Shelley,Stokes,79,60,90
Sara,Bradford,61,97,78
Michael,Lamb,53,69,73
Steve,Montgomery,77,73,58
Peter,Alvarez,99,73,57
Erika,White,71,76,65
Mark,Guerrero,98,64,81
Ryan,Green,73,86,64
Brandon,Anderson,61,100,74
Charles,Dickson,99,53,62
Colleen,Murphy,63,100,50
Cynthia,Carter,100,97,69
Amy,Morris,61,93,88
Heather,Olson,97,83,58
Michele,Johnson,97,77,83
Robert,Williams,74,62,63
Craig,Mendez,73,84,72
Samuel,Blevins,56,59,96
Timothy,Gutierrez,93,78,74
Lisa,Sanchez,90,82,73
Tyler,Levy,98,52,90
Micheal,Benson,61,88,93
Joanna,Wilson,57,65,52
William,Edwards,59,61,99
Kyle,Mcclure,53,53,70
Michelle,Leon,73,72,96
Lance,Mccoy,92,88,62
Michael,Andrade,93,69,79
Chad,Burgess,90,92,72
Shelly,Martin,93,72,51
Haley,Carpenter,77,94,89
John,Wells,54,93,99
Caleb,Espinoza,69,82,63
Marcus,Johnson,73,79,65
James,Summers,79,74,53
Sarah,Parrish,91,56,77
Reginald,Smith,95,55,86
Craig,Hall,73,75,61
Daniel,Alexander,60,59,78
Angela,Johnson,78,92,62
Jeffrey,Hanson,70,99,61
Michael,Rich,67,61,66
Roger,Hill,92,84,90
Ashley,Garrett,65,56,91
Leah,Murphy,90,88,67
Kevin,Johnson,92,57,50
Rhonda,Melton,52,65,79
Carl,Hayes,65,65,56
Marcus,Mccullough,73,85,94
Austin,Andrews,73,70,99
Samantha,Jimenez,93,77,73
Christie,Bailey,70,63,76
Cheryl,Brooks,99,72,70
Christopher,Wilson,66,58,73
Kayla,Johnson,86,52,85
Kelly,Williams,57,81,71
Anthony,Lopez,75,50,93
Scott,Davis,58,84,51
Amy,Deleon,52,63,98
Joseph,Brown,77,73,60
Jessica,Edwards,89,58,85
Robert,Schmidt,68,55,84
Jack,Davies,93,52,96
Michael,Owens,78,88,86
Dana,Smith,92,80,90
Oscar,Wilson,71,89,67
Virginia,Anderson,86,83,73
Latoya,Brown,88,82,99
Mark,Cole,81,84,66
Bernard,Cooper,76,52,68
Christopher,Miller,85,94,56
Kelli,Lee,80,61,52
Anna,Smith,92,71,60
Christopher,Liu,85,76,59
Evelyn,Garcia,81,65,68
Jacqueline,Wilson,91,99,53
Todd,Russell,79,50,60
Bryan,Gordon,52,70,89
Jenny,Young,57,63,66
Mackenzie,Wiley,58,84,60
Devin,Mccarthy,50,75,79
David,Berry,78,64,66
Jared,Mooney,97,71,98
Keith,Schneider,90,60,51
Mary,Rocha,53,92,57
John,Coleman,74,80,51
Matthew,Pittman,95,56,78
Lindsey,Rasmussen,95,96,98
Ryan,Werner,94,55,58
Scott,Perkins,64,93,55
Nathan,Peters,63,68,83
Tracy,Rodriguez,87,63,64
Barbara,Bennett,57,96,96
Matthew,Jackson,50,70,50
Annette,Haynes,98,91,72
Shannon,Jennings,58,55,98
Kristen,Schmitt,88,72,66
Tamara,Wiggins,51,57,56
Rodney,Santos,75,100,54
Amy,Sanchez,58,52,71
Jennifer,Jennings,80,53,76
Alyssa,Garcia,55,56,100
Michael,Lopez,77,75,70
Clarence,Miller,58,91,97
Ashley,Myers,84,63,58
Jason,Reed,73,74,69
Jeffery,Howard,61,60,82
Benjamin,Smith,89,90,94
John,Johnson,75,59,68
Rita,Mendoza,75,68,95
Roger,Wall,97,94,71
Michelle,Chapman,91,57,90
Robert,Walker,88,69,51
Annette,Brown,87,71,83
Brooke,Brown,72,96,83
Alexander,Patterson,99,59,50
Ellen,Smith,88,100,81
Nicholas,Allen,93,84,75
Stephen,Hunt,53,100,75
Brandon,Carroll,94,65,63
William,Juarez,63,53,79
Michael,Vaughn,83,52,62
Stephanie,Baxter,79,61,66
Robert,Melendez,57,92,73
Victoria,Smith,97,64,56
Suzanne,Hawkins,89,65,65
Robert,Miller,90,64,94
Chad,Martinez,77,89,93
Tracy,Randolph,66,91,79
Karen,Bates,94,97,89
David,West,86,90,55
John,Burch,83,76,99
William,Hughes,54,79,65
Shawn,Miles,73,87,58
Kayla,Hoffman,55,56,70
Megan,Carpenter,72,75,62
Christina,Bush,72,78,75
Tom,Davidson,93,82,53
Joshua,Smith,76,98,67
Benjamin,Raymond,54,54,99
Julia,Solomon,91,53,95
Anthony,Jackson,74,94,69
Alan,Dominguez,82,81,93
Haley,Ramos,76,89,85
Sara,Dennis,82,62,64
Clifford,Howard,93,54,70
Amy,Christensen,89,85,50
Jesse,Estrada,78,57,58
Donald,King,80,100,84
Cindy,Leach,81,68,92
John,Martinez,99,72,73
Amber,Campbell,92,64,57
Christopher,Ray,53,62,88
Stacy,Clarke,51,98,61
Jonathan,Martin,60,53,97
Christopher,Williams,54,95,78
Michelle,Richardson,51,56,84
Keith,Le,58,100,81
Amy,Gallegos,61,63,94
Suzanne,Wade,79,72,94
Heather,Shelton,50,51,89
Andrew,Blankenship,99,66,85
Terri,Miller,64,97,71
James,Keller,74,53,75
David,Brown,98,62,78
Susan,Thomas,60,89,96
Julia,Robinson,59,73,71
Tanya,Le,91,93,68
Katherine,Bray,50,82,54
Ryan,Mcbride,57,96,60
Patrick,Davila,82,63,64
Candice,Freeman,59,70,81
Joseph,Lee,79,96,74
Justin,Jacobs,92,59,76
Brittany,Lee,90,79,71
Robin,Harris,68,76,87
Craig,White,54,84,58
Julie,Baker,68,56,60
Allison,Hayes,95,86,67
Aaron,Jones,99,88,67
Margaret,Boyd,91,95,86
Stephanie,Peterson,74,75,55
Joshua,Thompson,74,66,91
Keith,Lopez,87,74,53
Christina,Perez,99,99,52
Valerie,Reid,93,64,90
Kevin,Dixon,95,86,50
Rebecca,Smith,63,64,90
William,Casey,65,50,74
William,Herman,63,82,61
Steven,Porter,85,57,63
Theresa,Evans,94,72,80
Joseph,Brown,78,54,95
Joshua,Lee,66,86,75
Aaron,Baker,53,72,69
Richard,Gonzalez,87,73,70
Nicole,Davis,73,79,76
Allen,Bailey,71,64,88
Jared,Cordova,57,55,100
Haley,Davis,54,91,60
John,Reyes,53,70,97
Katrina,Hughes,50,64,89
Marisa,Schroeder,64,55,86
Connie,Arnold,55,75,74
Evan,Arnold,67,74,94
Sean,Holmes,89,85,57
Troy,Castillo,61,94,61
Michael,Stephens,70,50,90
Kurt,Little,81,60,87
John,Johnson,78,60,66
Zachary,Chan,69,78,89
James,Delacruz,74,67,57
Michael,Holt,71,74,76
Kimberly,Castro,86,58,52
Allen,Kaiser,80,98,73
Samuel,Barber,65,72,52
Patrick,Lewis,68,91,72
Stephanie,Casey,52,91,63
Christopher,Brooks,54,50,92
Glenn,Cox,93,55,52
Jason,Hughes,96,57,87
Dawn,Tate,60,60,93
Robert,Mcdonald,68,89,90
Timothy,Holloway,86,91,67
Jimmy,Brown,60,61,89
Jose,Marshall,94,66,87
Jacob,Garcia,59,78,95
Diana,Mckenzie,60,70,89
Richard,Weiss,56,96,97
Brian,Morgan,74,59,91
Jose,Perez,92,77,57
Zachary,Pierce,59,62,52
Charles,Nguyen,100,54,64
Brian,Nelson,61,87,52
Anthony,Harris,53,76,71
Jason,Mendoza,85,71,59
Sarah,Welch,53,60,71
Sean,Wilson,90,73,51
Samantha,Moody,99,73,61
Devon,Lewis,60,50,91
Michelle,Richardson,70,57,96
John,Grant,80,85,89
Kristen,Jenkins,74,89,85
Anthony,King,77,57,77
Brandon,Powers,52,84,91
Michael,Hays,51,72,85
Alexandra,Cobb,75,66,77
Jennifer,Brooks,64,83,84
Cynthia,Craig,69,63,80
Rachel,Rodriguez,92,78,96
Robin,Trevino,79,63,89
Miguel,Clark,89,72,55
Mario,Acosta,76,99,66
Cassandra,Stevens,64,99,88
William,Combs,82,77,95
Leslie,Patterson,60,91,57
Michael,Travis,62,71,50
Troy,Martinez,74,82,70
Lori,Ford,90,98,100
Michelle,Bird,96,90,99
Teresa,Green,100,86,92
Larry,Bowman,97,71,55
Greg,King,72,56,97
Lauren,Nelson,99,74,95
Amber,Jones,92,84,62
Olivia,Jones,60,87,74
Tina,Simmons,100,59,92
Emily,Hamilton,52,82,74
John,Martin,98,74,96
Sherry,Evans,51,77,81
Vickie,Garcia,78,71,89
Bobby,Gomez,71,51,51
Taylor,Parker,63,100,64
Clinton,Brady,78,71,85
Jose,Norris,86,84,54
Anthony,Henson,90,58,100
Caleb,Yang,91,66,89
Michael,Martinez,75,61,64
Betty,Woods,77,78,75
Jessica,Freeman,98,92,86
Andrew,Lawson,82,86,69
John,Hester,53,53,88
Ricky,Sims,91,89,63
Jordan,Marshall,76,84,100
James,Orozco,53,59,68
Jason,Martin,84,75,96
Betty,Roberts,99,80,68
Kevin,Finley,54,90,82
Philip,Gilbert,97,72,90
Jason,Huffman,98,68,93
Debra,Miller,59,81,84
Richard,Rocha,74,69,58
Tina,Riley,85,50,52
Jennifer,Stein,64,57,55
Traci,Lee,51,85,83
Kenneth,Blevins,96,89,87
Alejandro,Diaz,86,63,77
James,Jennings,64,81,80
Kathy,Smith,76,88,69
Raymond,Davila,69,99,93
Joshua,Green,81,94,60
Danielle,Sosa,58,71,50
Katherine,Allen,67,55,95
Angela,Morris,51,85,66
Michael,Pratt,82,69,100
Cassie,Williams,90,96,57
Anthony,Munoz,90,63,92
Norma,Bennett,64,91,86
Kelly,Jones,75,51,70
Cynthia,Jacobs,72,85,87
Taylor,Rasmussen,91,53,50
Paul,Baker,77,98,91
James,Zhang,75,82,83
Jennifer,Daniels,93,61,98
Alex,Ali,79,58,56
Riley,Christensen,80,67,92
Susan,Love,70,77,86
James,Mckenzie,72,75,90
Benjamin,Avery,90,70,62
Amy,Lee,99,94,70
Vincent,Garner,91,80,63
Michael,Hensley,59,63,99
Gwendolyn,Cervantes,94,86,50
Sarah,Barber,62,59,58
Matthew,Conley,51,77,83
Diana,Francis,52,100,88
Brandon,Villarreal,72,83,94
Michael,Vance,98,82,91
Kimberly,Ware,82,55,56
Tracy,Hudson,64,65,59
Jason,Cox,55,52,50
Douglas,Ramirez,87,88,71
Ariel,Watson,63,63,56
Thomas,Chang,51,67,57
Eric,Hernandez,67,88,90
Tammy,Lutz,66,60,80
Allison,Reyes,77,89,94
Tony,Rogers,70,67,70
Kimberly,Parsons,52,62,64
Shawn,Nixon,96,84,96
Joshua,Ferrell,98,56,92
Judy,Casey,83,58,95
David,Smith,61,100,53
Robert,Scott,52,52,74
Michael,Johnson,62,67,94
Yvette,Green,96,90,73
William,Davidson,93,93,53
Elizabeth,Williams,73,89,84
Allison,Dean,84,79,60
Richard,Weeks,73,88,64
William,Williams,66,94,100
James,Hicks,94,66,64
Ashley,Decker,73,75,54
Christina,Herrera,97,72,93
Jonathan,Warner,99,91,100
Joseph,Hernandez,97,65,73
Vanessa,Lawrence,76,67,69
Michael,Lee,66,58,63
Jacob,Nichols,64,55,92
Teresa,Travis,52,69,71
Nancy,Butler,66,72,74
Nancy,Beck,54,85,94
Justin,Mullen,62,100,81
William,Young,86,53,60
Tara,Wilson,74,60,91
Jessica,Wright,69,84,70
Joseph,Brown,79,61,84
Adam,Sims,93,94,63
Alyssa,Moyer,76,97,86
Amanda,Wells,64,92,98
David,Davidson,84,74,72
Alexander,Bruce,52,65,55
Heather,Gilbert,66,78,85
Charles,Stevens,100,95,95
Donna,Ortega,59,76,78
Diane,Marshall,81,61,59
Steven,Chavez,81,69,63
Connie,Gould,52,90,83
Jeffrey,Thomas,58,91,53
Henry,Bentley,75,69,54
Alexander,Bell,98,88,67
Jeremy,Miller,62,65,88
Shane,Hobbs,71,55,84
Pamela,Moore,75,56,50
Kim,Ortiz,56,86,62
James,Sullivan,70,50,68
Patricia,Torres,60,56,81
Sheri,Benson,99,72,59
Susan,Perez,78,71,73
Travis,Rodriguez,57,97,53
Thomas,Wheeler,72,91,98
Emily,Montoya,59,62,66
Jeffrey,Phillips,56,95,91
Mario,Ellis,90,68,52
Allison,Knapp,58,58,74
Eric,Hooper,99,83,70
Sarah,Miller,92,68,59
Harry,Hudson,74,86,97
Stephanie,Liu,90,90,96
Michelle,Harrison,60,83,97
Timothy,Hernandez,60,54,76
Donald,Guerrero,56,92,71
Katelyn,Farmer,90,97,81
Lindsay,Cunningham,54,50,59
Ashley,Cannon,51,64,81
Jennifer,Lane,72,53,64
Peter,Ortiz,86,85,92
Regina,Roberts,78,75,68
Allison,Rose,88,99,67
Manuel,Bradley,90,72,56
Sara,Watson,54,87,66
James,Miller,76,60,52
Ashley,Hernandez,66,79,71
Renee,Tyler,89,79,68
Jesse,Curry,81,81,71
Linda,Wilson,100,98,60
Emily,Miller,78,58,64
Darren,Evans,93,93,76
Michelle,Dunn,83,98,58
Juan,Sims,88,75,61
Colleen,Reyes,76,55,54
James,Bell,68,96,86
Anthony,Ballard,62,58,97
Craig,Brock,99,63,55
William,Krause,68,84,82
Christine,Cantrell,75,69,84
Jason,Galloway,66,55,84
Ryan,Garcia,74,51,100
Nicholas,Williams,75,89,71
Elizabeth,Love,52,54,98
Amber,Garcia,98,73,51
Amanda,Lopez,84,55,64
Christopher,Kennedy,83,89,76
Sharon,Roach,82,98,88
Linda,Murray,90,98,70
Michael,Cunningham,90,50,71
Kara,Howe,75,61,61
Heather,Jones,59,61,66
Blake,Sparks,62,92,92
Michael,Guzman,79,73,57
Tim,Long,95,67,66
Jeffery,Perez,94,84,61
Amanda,Morgan,94,87,66
Jessica,Thompson,92,86,90
Bryce,Cobb,68,61,76
Kelly,Wheeler,57,96,87
Steven,Lyons,95,76,92
Benjamin,Hunt,53,99,91
Christine,James,63,75,84
Rebecca,Sherman,91,63,62
Lisa,Burns,76,62,98
Eric,Heath,84,70,86
Scott,Cross,62,71,96
Andrea,Powers,61,89,89
Meghan,Williams,79,98,57
Elaine,Hamilton,96,77,50
Ashlee,Salinas,82,61,97
Dennis,Smith,60,54,93
Shane,Jordan,86,82,58
Robert,Proctor,69,78,63
Robin,Bennett,77,82,77
Beth,Bryan,82,92,88
Jessica,Fernandez,79,94,95
Sabrina,Morrison,51,53,83
Hannah,Washington,90,53,76
Wayne,Velazquez,77,65,60
Ashley,Castaneda,70,93,51
Ronald,Jones,63,99,75
Kevin,Hawkins,59,84,56
Patricia,Fuller,58,92,73
Nathaniel,Parker,54,93,89
Nathan,Gibson,63,88,75
Teresa,Roberts,99,67,88
Sue,Dyer,91,78,59
Catherine,Rodriguez,90,84,61
Crystal,Dennis,59,81,59
Johnathan,Pierce,67,73,52
Gregory,Buck,69,75,55
Matthew,Miller,77,50,99
Andrea,Ellison,83,88,81
Rachel,Thompson,92,100,90
Joseph,Ray,85,94,90
Daniel,Moore,82,91,60
Tamara,Weeks,100,60,86
Christopher,Moreno,86,62,66
Carlos,Murphy,72,98,73
Sarah,Chavez,90,54,50
Michael,Stone,84,100,57
Jay,Terry,62,88,77
Paul,Neal,69,71,89
Pamela,Scott,98,57,74
Whitney,Gomez,62,74,81
Jessica,Myers,73,66,79
Jennifer,Schneider,98,77,65
Regina,Myers,76,92,93
Amanda,Dean,97,93,97
Lisa,Phelps,61,56,84
Brittany,Henderson,73,90,66
Howard,Preston,78,83,57
Victoria,Wilkins,85,84,80
Shawn,Wilson,56,78,58
James,Duran,63,66,59
Jaime,Williams,71,98,72
Ashley,Davis,89,80,80
Robin,Phillips,56,100,92
Katrina,Miller,75,80,54
Jason,Farrell,85,52,92
Brittany,Gonzalez,58,78,73
Emma,Brown,92,82,62
Parker,Cuevas,82,81,62
Joseph,Banks,87,85,88
Marc,Horn,50,84,65
Angela,Smith,55,78,83
James,Wyatt,67,95,99
Michelle,Osborne,88,87,63
Alyssa,Wu,93,77,92
Ellen,Turner,65,53,52
Sierra,Adams,60,97,66
Michaela,Davis,87,79,53
Eric,Nelson,89,77,95
Billy,Fernandez,83,56,82
Laura,Smith,94,99,54
Sheri,Alexander,62,94,50
Leroy,Burton,56,81,89
Jeffrey,Elliott,55,60,77
Jerry,Sanders,77,61,97
Jerry,Howard,63,77,53
Mark,Wise,57,70,59
Patrick,Hall,74,72,97
Angelica,Mendoza,61,91,83
Rebecca,Davis,74,67,70
Brian,Kelly,75,59,79
James,Cross,80,65,59
Jay,Hernandez,90,95,94
Katherine,Osborn,54,99,69
Daniel,Scott,55,94,92
Danielle,Wright,50,85,97
Kevin,Diaz,87,58,66
Lisa,Ryan,66,61,68
Carl,Kennedy,98,84,80
James,Cameron,51,98,57
Stacy,Phillips,57,53,58
Jennifer,Aguilar,64,64,51
Eric,Williams,57,78,91
Amanda,Porter,90,73,88
Becky,Adams,79,97,70
Matthew,Simpson,86,62,91
Ann,Bailey,61,77,89
Daniel,Daniel,83,92,90
Andrew,Young,99,93,55
Jamie,Hammond,94,50,68
Andrea,Taylor,60,81,53
Austin,Johnson,74,73,95
Carol,Parker,74,50,53
Shawna,Anderson,56,95,68
Monica,Patterson,60,55,53
Lee,Benitez,52,59,80
