Name                    Exam1     Exam2     Exam3     Avg       
Joseph Brown            79        61        84        74.67     
Adam Sims               93        94        63        83.33     
Alyssa Moyer            76        97        86        86.33     
Amanda Wells            64        92        98        84.67     
David Davidson          84        74        72        76.67     
Alexander Bruce         52        65        55        57.33     
Heather Gilbert         66        78        85        76.33     
Charles Stevens         100       95        95        96.67     
Donna Ortega            59        76        78        71.00     
Diane Marshall          81        61        59        67.00     
Steven Chavez           81        69        63        71.00     
Connie Gould            52        90        83        75.00     
Jeffrey Thomas          58        91        53        67.33     
Henry Bentley           75        69        54        66.00     
Alexander Bell          98        88        67        84.33     
Jeremy Miller           62        65        88        71.67     
Shane Hobbs             71        55        84        70.00     
Pamela Moore            75        56        50        60.33     
Kim Ortiz               56        86        62        68.00     
James Sullivan          70        50        68        62.67     
Patricia Torres         60        56        81        65.67     
Sheri Benson            99        72        59        76.67     
Susan Perez             78        71        73        74.00     
Travis Rodriguez        57        97        53        69.00     
Thomas Wheeler          72        91        98        87.00     
Emily Montoya           59        62        66        62.33     
Jeffrey Phillips        56        95        91        80.67     
Mario Ellis             90        68        52        70.00     
Allison Knapp           58        58        74        63.33     
Eric Hooper             99        83        70        84.00     
Sarah Miller            92        68        59        73.00     
Harry Hudson            74        86        97        85.67     
Stephanie Liu           90        90        96        92.00     
Michelle Harrison       60        83        97        80.00     
Timothy Hernandez       60        54        76        63.33     
Donald Guerrero         56        92        71        73.00     
Katelyn Farmer          90        97        81        89.33     
Lindsay Cunningham      54        50        59        54.33     
Ashley Cannon           51        64        81        65.33     
Jennifer Lane           72        53        64        63.00     
Peter Ortiz             86        85        92        87.67     
Regina Roberts          78        75        68        73.67     
Allison Rose            88        99        67        84.67     
Manuel Bradley          90        72        56        72.67     
Sara Watson             54        87        66        69.00     
James Miller            76        60        52        62.67     
Ashley Hernandez        66        79        71        72.00     
Renee Tyler             89        79        68        78.67     
Jesse Curry             81        81        71        77.67     
Linda Wilson            100       98        60        86.00     
Emily Miller            78        58        64        66.67     
Darren Evans            93        93        76        87.33     
Michelle Dunn           83        98        58        79.67     
Juan Sims               88        75        61        74.67     
Colleen Reyes           76        55        54        61.67     
James Bell              68        96        86        83.33     
Anthony Ballard         62        58        97        72.33     
Craig Brock             99        63        55        72.33     
William Krause          68        84        82        78.00     
Christine Cantrell      75        69        84        76.00     
Jason Galloway          66        55        84        68.33     
Ryan Garcia             74        51        100       75.00     
Nicholas Williams       75        89        71        78.33     
Elizabeth Love          52        54        98        68.00     
Amber Garcia            98        73        51        74.00     
Amanda Lopez            84        55        64        67.67     
Christopher Kennedy     83        89        76        82.67     
Sharon Roach            82        98        88        89.33     
Linda Murray            90        98        70        86.00     
Michael Cunningham      90        50        71        70.33     
Kara Howe               75        61        61        65.67     
Heather Jones           59        61        66        62.00     
Blake Sparks            62        92        92        82.00     
Michael Guzman          79        73        57        69.67     
Tim Long                95        67        66        76.00     
Jeffery Perez           94        84        61        79.67     
Amanda Morgan           94        87        66        82.33     
Jessica Thompson        92        86        90        89.33     
Bryce Cobb              68        61        76        68.33     
Kelly Wheeler           57        96        87        80.00     
Steven Lyons            95        76        92        87.67     
Benjamin Hunt           53        99        91        81.00     
Christine James         63        75        84        74.00     
Rebecca Sherman         91        63        62        72.00     
Lisa Burns              76        62        98        78.67     
Eric Heath              84        70        86        80.00     
Scott Cross             62        71        96        76.33     
Andrea Powers           61        89        89        79.67     
Meghan Williams         79        98        57        78.00     
Elaine Hamilton         96        77        50        74.33     
Ashlee Salinas          82        61        97        80.00     
Dennis Smith            60        54        93        69.00     
Shane Jordan            86        82        58        75.33     
Robert Proctor          69        78        63        70.00     
Robin Bennett           77        82        77        78.67     
Beth Bryan              82        92        88        87.33     
Jessica Fernandez       79        94        95        89.33     
Sabrina Morrison        51        53        83        62.33     
Hannah Washington       90        53        76        73.00     
Wayne Velazquez         77        65        60        67.33     
Ashley Castaneda        70        93        51        71.33     
Ronald Jones            63        99        75        79.00     
Kevin Hawkins           59        84        56        66.33     
Patricia Fuller         58        92        73        74.33     
Nathaniel Parker        54        93        89        78.67     
Nathan Gibson           63        88        75        75.33     
Teresa Roberts          99        67        88        84.67     
Sue Dyer                91        78        59        76.00     
Catherine Rodriguez     90        84        61        78.33     
Crystal Dennis          59        81        59        66.33     
Johnathan Pierce        67        73        52        64.00     
Gregory Buck            69        75        55        66.33     
Matthew Miller          77        50        99        75.33     
Andrea Ellison          83        88        81        84.00     
Rachel Thompson         92        100       90        94.00     
Joseph Ray              85        94        90        89.67     
Daniel Moore            82        91        60        77.67     
Tamara Weeks            100       60        86        82.00     
Christopher Moreno      86        62        66        71.33     
Carlos Murphy           72        98        73        81.00     
Sarah Chavez            90        54        50        64.67     
Michael Stone           84        100       57        80.33     
Jay Terry               62        88        77        75.67     
Paul Neal               69        71        89        76.33     
Pamela Scott            98        57        74        76.33     
Whitney Gomez           62        74        81        72.33     
Jessica Myers           73        66        79        72.67     
Jennifer Schneider      98        77        65        80.00     
Regina Myers            76        92        93        87.00     
Amanda Dean             97        93        97        95.67     
Lisa Phelps             61        56        84        67.00     
Brittany Henderson      73        90        66        76.33     
Howard Preston          78        83        57        72.67     
Victoria Wilkins        85        84        80        83.00     
Shawn Wilson            56        78        58        64.00     
James Duran             63        66        59        62.67     
Jaime Williams          71        98        72        80.33     
Ashley Davis            89        80        80        83.00     
Robin Phillips          56        100       92        82.67     
Katrina Miller          75        80        54        69.67     
Jason Farrell           85        52        92        76.33     
Brittany Gonzalez       58        78        73        69.67     
Emma Brown              92        82        62        78.67     
Parker Cuevas           82        81        62        75.00     
Joseph Banks            87        85        88        86.67     
Marc Horn               50        84        65        66.33     
Angela Smith            55        78        83        72.00     
James Wyatt             67        95        99        87.00     
Michelle Osborne        88        87        63        79.33     
Alyssa Wu               93        77        92        87.33     
Ellen Turner            65        53        52        56.67     
Sierra Adams            60        97        66        74.33     
Michaela Davis          87        79        53        73.00     
Eric Nelson             89        77        95        87.00     
Billy Fernandez         83        56        82        73.67     
Laura Smith             94        99        54        82.33     
Sheri Alexander         62        94        50        68.67     
Leroy Burton            56        81        89        75.33     
Jeffrey Elliott         55        60        77        64.00     
Jerry Sanders           77        61        97        78.33     
Jerry Howard            63        77        53        64.33     
Mark Wise               57        70        59        62.00     
Patrick Hall            74        72        97        81.00     
Angelica Mendoza        61        91        83        78.33     
Rebecca Davis           74        67        70        70.33     
Brian Kelly             75        59        79        71.00     
James Cross             80        65        59        68.00     
Jay Hernandez           90        95        94        93.00     
Katherine Osborn        54        99        69        74.00     
Daniel Scott            55        94        92        80.33     
Danielle Wright         50        85        97        77.33     
Kevin Diaz              87        58        66        70.33     
Lisa Ryan               66        61        68        65.00     
Carl Kennedy            98        84        80        87.33     
James Cameron           51        98        57        68.67     
Stacy Phillips          57        53        58        56.00     
Jennifer Aguilar        64        64        51        59.67     
Eric Williams           57        78        91        75.33     
Amanda Porter           90        73        88        83.67     
Becky Adams             79        97        70        82.00     
Matthew Simpson         86        62        91        79.67     
Ann Bailey              61        77        89        75.67     
Daniel Daniel           83        92        90        88.33     
Andrew Young            99        93        55        82.33     
Jamie Hammond           94        50        68        70.67     
Andrea Taylor           60        81        53        64.67     
Austin Johnson          74        73        95        80.67     
Carol Parker            74        50        53        59.00     
Shawna Anderson         56        95        68        73.00     
Monica Patterson        60        55        53        56.00     
Lee Benitez             52        59        80        63.67     
Emily Brown             82        89        72        81.00     
Lindsay Ortega          50        52        78        60.00     
Jessica Smith           76        80        61        72.33     
Troy Mullins            97        61        88        82.00     
Cameron Rose            95        61        64        73.33     
Jennifer Brown          83        71        51        68.33     
Dillon Ramos            91        52        100       81.00     
Stacy Fisher            95        95        60        83.33     
Joseph Cortez           90        81        56        75.67     
Gina Roberts            84        75        50        69.67     
Marilyn Duffy           80        54        64        66.00     
Crystal Clark           86        62        82        76.67     
Angie Sanchez           92        98        64        84.67     
Rebecca Wright          56        85        74        71.67     
Emily Barajas           76        91        86        84.33     
Jonathon Harper         59        97        71        75.67     
Amanda Peters           53        77        67        65.67     
Vanessa Ryan            96        97        65        86.00     
April Perez             98        86        73        85.67     
Eric Smith              94        76        52        74.00     
Robert Rodriguez        60        77        94        77.00     
Lisa Landry             92        78        90        86.67     
Sandra Hardin           50        59        84        64.33     
Lisa Moore              80        77        69        75.33     
David Johnson           100       66        76        80.67     
Ann Rios                65        94        82        80.33     
Melissa Phillips        70        93        50        71.00     
Marcus Villanueva       56        64        69        63.00     
Amanda Schultz          61        83        51        65.00     
Candace Collins         77        91        83        83.67     
Christopher Lucero      94        84        89        89.00     
Monique Berger          62        97        68        75.67     
Austin Salinas          91        64        65        73.33     
Jennifer Williams       81        100       100       93.67     
Julia Morgan            72        88        60        73.33     
Kimberly White          62        76        67        68.33     
Michael Tran            90        93        78        87.00     
Jonathan Mitchell       51        60        86        65.67     
Melissa Ward            80        67        51        66.00     
Elizabeth Combs         87        87        57        77.00     
Stephanie Campbell      96        82        61        79.67     
Kristie Jackson         59        50        73        60.67     
Kayla Mcintyre          67        61        100       76.00     
Cindy Thompson          57        98        59        71.33     
Jean Bridges            63        55        59        59.00     
Michelle Bennett        72        69        98        79.67     
Michael Mercado         51        75        85        70.33     
Zachary Dixon           92        88        90        90.00     
Matthew Rojas           67        92        74        77.67     
Timothy Smith           66        92        66        74.67     
James Graham            70        83        58        70.33     
John Wilkerson          78        81        51        70.00     
Victoria Jordan         61        100       99        86.67     
Allen Jones             97        63        62        74.00     
Jacqueline Hernandez    77        81        95        84.33     
Robert Hernandez        79        88        77        81.33     
Robert Mann             84        93        65        80.67     
Kathryn Mckinney        100       82        75        85.67     
Rachel Bentley          76        63        97        78.67     
Adam Rogers             86        88        60        78.00     
William Wilson          96        73        89        86.00     
Sandra Davis            98        61        53        70.67     
Heidi Johnson           82        52        50        61.33     
Dawn Faulkner           89        96        70        85.00     
Austin Wilson           54        92        55        67.00     
Alicia Jackson          67        94        89        83.33     
Keith Perez             100       91        87        92.67     
Willie Ware             80        68        55        67.67     
Randy Miller            92        64        91        82.33     
Shawn Martinez          61        84        88        77.67     
Carla Morgan            71        59        59        63.00     
Elizabeth Bowen         71        74        72        72.33     
Kathy Porter            57        59        65        60.33     
Beth Meyer              80        56        83        73.00     
Diane White             59        82        100       80.33     
Andrea Golden           56        79        65        66.67     
Martha Spencer          91        92        71        84.67     
William Moore           57        98        62        72.33     
Adam Solomon            98        59        80        79.00     
Jamie Brown             71        50        97        72.67     
Robert Daniel           94        56        78        76.00     
Gavin Simpson           96        61        84        80.33     
Billy Logan             50        82        66        66.00     
William Wang            58        63        85        68.67     
Johnny Love             94        92        89        91.67     
Annette Novak           87        63        100       83.33     
Brandon Martinez        81        55        71        69.00     
Christopher Thomas      79        90        60        76.33     
Carolyn Benjamin        78        50        89        72.33     
Eddie Gardner           95        55        88        79.33     
Molly Melton            84        90        86        86.67     
Desiree Becker          87        74        51        70.67     
Brooke Williams         74        62        81        72.33     
Mary Jones              100       92        65        85.67     
George Phillips         53        54        84        63.67     
Jennifer Molina         99        96        63        86.00     
George Mason            73        72        97        80.67     
Julie Barnes            51        84        70        68.33     
Dylan Horton            61        80        94        78.33     
Phillip Bryant          64        92        64        73.33     
Debra Moon              78        95        67        80.00     
Brittany Osborn         68        95        92        85.00     
Monique Evans           58        87        91        78.67     
James Montes            71        71        85        75.67     
Laurie Elliott          72        60        87        73.00     
James Villanueva        73        66        63        67.33     
Michael Todd            89        76        93        86.00     
William Short           77        67        90        78.00     
Jason King              90        64        76        76.67     
Rachel Jones            70        71        68        69.67     
Justin Fritz            82        74        82        79.33     
Susan Ramirez           76        57        78        70.33     
Daniel Jones            81        52        57        63.33     
Kristen Waters          56        90        95        80.33     
Amanda Ashley           75        77        91        81.00     
Douglas Sutton          51        73        76        66.67     
Nicholas Douglas        100       89        83        90.67     
Sergio Wilson           80        64        96        80.00     
Chad Spencer            90        54        74        72.67     
John Bradford           100       51        67        72.67     
Lindsey Wright          59        95        63        72.33     
Kevin Harvey            89        83        59        77.00     
Samuel Wood             76        59        89        74.67     
Bryan Thomas            69        74        59        67.33     
Jennifer Allison        97        68        95        86.67     
Diane Navarro           85        65        77        75.67     
Brittney Holmes         82        67        86        78.33     
Ryan Lang               72        64        91        75.67     
Jon Tucker              61        98        51        70.00     
Charles Garcia          98        71        91        86.67     
Rachel Vega             81        61        85        75.67     
Christina Perez         74        57        58        63.00     
Lynn Friedman           91        79        64        78.00     
Jo Neal                 90        69        66        75.00     
Hannah Lopez            51        96        69        72.00     
Katie Robinson          63        69        67        66.33     
Brian Gardner           68        70        97        78.33     
Christopher Mejia       83        71        93        82.33     
Jacob Bryant            98        91        67        85.33     
Latoya Miles            73        91        98        87.33     
Ariel Gonzalez          67        74        92        77.67     
Jacob Brown             89        66        100       85.00     
Peter Hale              72        58        53        61.00     
Dennis Dalton           68        90        85        81.00     
Justin Pena             52        96        96        81.33     
Charles Guerrero        54        66        78        66.00     
Curtis Fisher           90        77        88        85.00     
Thomas Park             54        83        69        68.67     
Whitney Waller          71        78        69        72.67     
Christina Young         97        62        86        81.67     
Nicholas Waller         86        65        53        68.00     
Jessica Obrien          91        57        66        71.33     
Elizabeth Lane          64        70        90        74.67     
Jennifer Johnson        83        51        64        66.00     
Brittney Duncan         57        57        57        57.00     
Tracy Davis             61        90        82        77.67     
Allison Fletcher        64        50        85        66.33     
Amanda Murphy           54        54        75        61.00     
Rebecca Hall            80        77        61        72.67     
Jennifer Padilla        76        82        67        75.00     
Krystal Walker          96        60        88        81.33     
Laura Martin            86        60        58        68.00     
Heather Stephens        65        94        76        78.33     
Jessica Richards        60        95        51        68.67     
Gabriel Johnson         92        61        92        81.67     
Sheila Johnson          89        52        74        71.67     
Sarah Roberts           74        100       51        75.00     
Samantha Jennings       86        59        87        77.33     
Selena Contreras        87        61        82        76.67     
Daniel Clark            68        73        92        77.67     
Blake Acosta            54        96        78        76.00     
Michael Wright          50        93        90        77.67     
Krista Curtis           62        93        75        76.67     
Mark Johnson            66        76        54        65.33     
Teresa Smith            81        100       93        91.33     
Steven Watkins          86        63        100       83.00     
Jeremy Williams         80        84        100       88.00     
Bryan Spencer           58        89        51        66.00     
Brandy Wolfe            98        89        53        80.00     
Anthony Blake           51        72        81        68.00     
Brian Pittman           88        94        83        88.33     
Tracie Scott            83        74        95        84.00     
Michelle Phillips       60        65        74        66.33     
Stephanie White         97        85        69        83.67     
John Ruiz               76        88        95        86.33     
Tiffany Bowman          75        52        94        73.67     
Robert Lee              82        73        57        70.67     
Brandon Smith           82        80        59        73.67     
Ashley Hall             72        56        99        75.67     
Wayne Myers             64        50        60        58.00     
Tiffany Lewis           51        66        68        61.67     
Chad Stephens           97        78        69        81.33     
Shane Vazquez           76        62        88        75.33     
Alex Gill               61        90        71        74.00     
Rachel Singh            57        63        52        57.33     
Alicia Hernandez        50        85        61        65.33     
Jacob Johnston          53        63        54        56.67     
Jerry Riley             80        71        75        75.33     
Jennifer Olson          59        51        61        57.00     
Jason Aguirre           62        70        94        75.33     
Savannah Diaz           55        53        53        53.67     
Margaret Deleon         63        52        85        66.67     
Robin Rios              55        78        71        68.00     
Alan King               89        88        56        77.67     
Tina Bowen              97        82        95        91.33     
Cynthia Hernandez       89        78        100       89.00     
Alicia Miller           62        70        76        69.33     
David Brock             85        62        66        71.00     
Amber Lopez             97        88        62        82.33     
Nancy Tapia             90        97        64        83.67     
Jenna Wilson            59        56        75        63.33     
Matthew Hughes          51        78        99        76.00     
Alyssa Foster           85        97        89        90.33     
Nicholas West           97        69        61        75.67     
Heather Harrison        97        84        90        90.33     
Jessica Joseph          100       94        81        91.67     
Melanie Lee             55        53        71        59.67     
Megan Marquez           63        59        76        66.00     
James Hayes             96        95        100       97.00     
Mark Mccann             55        66        93        71.33     
Robin Meadows           86        76        89        83.67     
Natalie Perez           65        83        75        74.33     
Candice Robinson        88        77        86        83.67     
Rhonda Martin           74        77        52        67.67     
Matthew Avila           85        53        94        77.33     
Natasha Graham          71        71        96        79.33     
Brian Hicks             67        59        100       75.33     
Zachary Duncan          66        71        87        74.67     
Zachary Austin          97        53        88        79.33     
Brian Garrison          92        84        79        85.00     
Tabitha Bean            78        71        74        74.33     
Mary Cruz               51        93        50        64.67     
Christina Scott         83        96        84        87.67     
Linda Martinez          53        61        84        66.00     
Andrea Fisher           57        95        73        75.00     
John Perez              79        59        62        66.67     
Paul Graves             82        63        84        76.33     
Brian Mejia             86        70        94        83.33     
Luis King               53        83        67        67.67     
Angela Schmidt          55        63        94        70.67     
Kathleen Jones          77        83        79        79.67     
Anthony Anderson        66        84        71        73.67     
Kimberly Erickson       51        67        98        72.00     
Robert Peck             77        52        75        68.00     
Edward Schultz          96        60        61        72.33     
Randall Smith           86        72        96        84.67     
Emily Ward              97        52        68        72.33     
Rick Brown              100       88        68        85.33     
Tammy Webb              56        95        85        78.67     
Jennifer Gordon         90        50        90        76.67     
Joyce Williams          53        77        68        66.00     
Erin Phelps             79        69        99        82.33     
Michael Warner          63        87        79        76.33     
Russell Hampton         69        80        51        66.67     
Robert Mejia            96        61        62        73.00     
Randy Shields           51        61        97        69.67     
Christopher Roberts     91        63        72        75.33     
Linda Smith             51        86        85        74.00     
Hayley Wilson           69        64        85        72.67     
Erika Stewart           51        100       62        71.00     
Nicole Navarro          98        73        70        80.33     
Thomas Carter           96        90        92        92.67     
Kevin Gutierrez         68        62        72        67.33     
Kristina Bush           61        56        51        56.00     
William Jensen          66        92        88        82.00     
Taylor Porter           65        96        82        81.00     
Roy Lucas               56        67        56        59.67     
Kyle Reynolds           51        69        83        67.67     
Peggy Andersen          69        68        98        78.33     
Stephanie Knight        61        59        73        64.33     
Tonya Adams             51        69        85        68.33     
Krista Roberts          73        77        100       83.33     
Craig Long              89        90        87        88.67     
Lindsey Bryan           89        97        71        85.67     
Courtney Strickland     88        68        59        71.67     
Yolanda Johns           93        88        83        88.00     
Deanna Harris           58        79        81        72.67     
Nina Graves             73        85        82        80.00     
Ryan Gonzalez           75        99        57        77.00     
Mary Green              65        55        70        63.33     
Colleen Burke           90        70        73        77.67     
Sharon Yang             64        56        54        58.00     
James Bonilla           53        98        90        80.33     
Michelle Barker         54        99        52        68.33     
Beth Taylor             95        61        82        79.33     
Tina Holmes             58        93        75        75.33     
Robert Soto             83        89        85        85.67     
Colin Mason             68        50        57        58.33     
Tyler York              88        100       77        88.33     
Paul Ball               100       84        84        89.33     
Katherine Velasquez     66        58        60        61.33     
Adam Williams           65        84        66        71.67     
John Rodriguez          72        85        71        76.00     
Brian Mckenzie          86        62        54        67.33     
Jodi Schultz            70        72        98        80.00     
Kathy Molina            97        92        98        95.67     
Robert Pratt            69        57        70        65.33     
Lisa Butler             63        81        63        69.00     
Brittany Rodriguez      82        100       88        90.00     
Andrew Walsh            74        78        74        75.33     
Eric Gardner            96        86        66        82.67     
Hannah Henderson        59        78        52        63.00     
Adam Soto               91        83        97        90.33     
William Nelson          79        94        85        86.00     
Gregory Carroll         52        100       91        81.00     
Joshua Mcgee            87        57        71        71.67     
Madeline Randolph       58        69        52        59.67     
Melanie Rios            63        93        64        73.33     
Larry Johnson           55        51        87        64.33     
Sharon Smith            95        97        77        89.67     
Michael Robinson        81        93        68        80.67     
Ashley Smith            53        80        71        68.00     
Dawn Wilson             89        66        53        69.33     
Anthony Boyd            92        81        67        80.00     
Andrew Hernandez        93        74        70        79.00     
Tiffany Mcmahon         94        62        94        83.33     
Ashley Santos           69        76        96        80.33     
Malik Rodriguez         69        88        65        74.00     
Travis Page             60        62        54        58.67     
Kent Wright             71        93        91        85.00     
Paul Davis              58        98        77        77.67     
Cheryl Schmidt          65        51        64        60.00     
Gabriel Mack            82        85        97        88.00     
Robert Stevenson        67        94        73        78.00     
Kevin Cameron           76        58        91        75.00     
Kristina Davis          80        66        62        69.33     
Brian Rodgers           91        97        97        95.00     
Joshua White            56        93        50        66.33     
Harold Sandoval         72        87        96        85.00     
John Mason              77        60        69        68.67     
Peter Morris            92        63        62        72.33     
Charles Cruz            53        57        78        62.67     
Rose Rodriguez          63        90        79        77.33     
Debra Mcclure           92        59        50        67.00     
William Wells           67        94        93        84.67     
Valerie Perez           54        92        62        69.33     
Nicolas Simmons         81        83        59        74.33     
Jeffery Robbins         72        82        84        79.33     
Michael Elliott         61        87        69        72.33     
Hannah Martin           60        77        82        73.00     
Austin Allen            80        72        68        73.33     
Robert Lucas            96        59        94        83.00     
Robert Sampson          82        61        55        66.00     
Daniel Davidson         64        82        78        74.67     
Edward Webb             52        63        81        65.33     
William Brown           60        88        79        75.67     
Crystal Todd            80        78        94        84.00     
Jacob Ferrell           97        53        62        70.67     
Brittany Nelson         70        67        63        66.67     
Frank Leonard           60        56        80        65.33     
Adam Roberts            69        61        75        68.33     
Patricia Sanders        86        73        79        79.33     
Mitchell Diaz           58        51        82        63.67     
Lisa Johnson            55        97        60        70.67     
Vicki Jenkins           59        54        61        58.00     
Marc Carter             86        98        51        78.33     
Aaron Saunders          94        55        68        72.33     
Olivia Garcia           67        87        52        68.67     
Kimberly Leonard        77        62        63        67.33     
Jonathan Rodriguez      78        84        62        74.67     
Christine Douglas       93        76        96        88.33     
Rhonda Jensen           77        83        54        71.33     
Matthew Suarez          54        60        67        60.33     
Breanna Morse           77        88        71        78.67     
Robert Gaines           86        94        52        77.33     
Thomas Garcia           81        60        100       80.33     
Evan Guzman             66        88        68        74.00     
Ariel Wright            90        71        76        79.00     
Dalton Lee              62        96        58        72.00     
Jennifer Morris         98        89        77        88.00     
Christine Burns         57        63        87        69.00     
Patrick York            84        91        52        75.67     
Timothy Sullivan        52        81        84        72.33     
Anna Calderon           82        62        97        80.33     
Marc Huber              72        97        70        79.67     
Christopher Bell        55        63        55        57.67     
Cory Reynolds           80        57        97        78.00     
Alyssa Wise             81        87        54        74.00     
Arthur Dudley           77        66        79        74.00     
Brett Phillips          62        52        100       71.33     
Richard Sharp           87        82        64        77.67     
Alexis Randall          100       74        51        75.00     
Heather Armstrong       92        77        87        85.33     
Lonnie Rodriguez        77        75        67        73.00     
Donald Sanchez          50        93        73        72.00     
Jeffrey Rios            92        86        98        92.00     
Rhonda Mason            98        98        65        87.00     
John Hogan              94        52        55        67.00     
Molly Barnes            93        91        96        93.33     
Erin Parker             62        79        73        71.33     
Oscar Davis             91        71        71        77.67     
Rachel Welch            99        86        81        88.67     
Kristen Thomas          57        73        99        76.33     
Courtney Mendoza        75        69        91        78.33     
Cindy Nguyen            54        73        79        68.67     
Christopher Edwards     67        57        75        66.33     
Raymond Aguilar         94        57        68        73.00     
John Donaldson          53        92        66        70.33     
Sean Brown              80        80        82        80.67     
Ricky Buck              60        72        97        76.33     
Kimberly Solis          53        63        81        65.67     
Andrew Wilson           57        55        68        60.00     
Tamara Walsh            90        80        85        85.00     
Summer Harper           81        90        70        80.33     
Valerie Roberts         79        83        94        85.33     
Patricia Walsh          86        61        92        79.67     
Justin Miles            94        51        65        70.00     
Jason Walters           92        72        90        84.67     
Ann Williams            90        86        58        78.00     
Philip Howard           67        89        94        83.33     
James Green             82        83        88        84.33     
Megan Russell           97        56        73        75.33     
Susan Matthews          87        82        99        89.33     
Carrie Brown            57        80        100       79.00     
Tyler Carter            77        85        84        82.00     
Katelyn Murillo         67        66        60        64.33     
Nicole Murphy           94        66        69        76.33     
Andre Snyder            58        57        87        67.33     
Roy Morris              87        98        68        84.33     
Nathan Davis            100       67        61        76.00     
Matthew Hunt            54        93        100       82.33     
Lauren Anderson         94        90        80        88.00     
Sophia White            61        99        88        82.67     
Anna Harper             69        60        66        65.00     
Calvin Madden           99        71        52        74.00     
Trevor Kennedy          58        96        99        84.33     
Patricia Brown          50        98        85        77.67     
Rebecca Davis           51        62        69        60.67     
Debra Bowen             88        100       87        91.67     
Jeffrey Burton          73        82        99        84.67     
Kirsten Lam             84        90        69        81.00     
David Martinez          61        76        79        72.00     
Andrew Howell           51        85        91        75.67     
Susan Castillo          71        98        62        77.00     
Derek Walker            69        83        100       84.00     
George Thompson         77        78        76        77.00     
Jo Harris               69        58        54        60.33     
Jesse Sullivan          55        87        71        71.00     
Robin Sanders           53        80        93        75.33     
Diana Avila             65        80        79        74.67     
Michael Beard           56        74        100       76.67     
Connie Burgess          50        62        97        69.67     
Alyssa Robbins          68        99        78        81.67     
Kathleen Davis          63        86        94        81.00     
Kevin Stewart           76        69        64        69.67     
Lindsay Lee             79        81        95        85.00     
Ralph Vang              61        92        78        77.00     
Warren Briggs           84        56        63        67.67     
David Goodwin           60        92        66        72.67     
Vanessa Miles           63        52        87        67.33     
Joshua Villanueva       56        92        82        76.67     
Kimberly Pittman        70        55        80        68.33     
Timothy Barnes          93        91        89        91.00     
Chelsea Johnson         85        100       54        79.67     
Joseph Garrett          83        56        74        71.00     
Angela Johnson          81        53        60        64.67     
Jennifer Perez          63        89        98        83.33     
Tina Anderson           80        75        79        78.00     
Chelsea Guerra          68        82        67        72.33     
Alyssa Valencia         60        80        88        76.00     
Nancy Galloway          56        97        87        80.00     
Juan Avery              54        78        76        69.33     
John Reyes              77        84        55        72.00     
Katelyn Richardson      72        89        96        85.67     
Shawn Simmons           61        86        94        80.33     
Elizabeth Wood          93        92        66        83.67     
Amy Herrera             88        63        61        70.67     
Julie Flores            100       71        51        74.00     
Brian Mayer             59        87        51        65.67     
Patrick Mack            53        55        76        61.33     
Stephanie Hill          54        82        53        63.00     
Anthony Dorsey          99        57        50        68.67     
Glenda Lynch            75        65        56        65.33     
Kathryn Gonzalez        85        88        62        78.33     
Thomas Coleman          63        78        59        66.67     
Michael Smith           80        66        78        74.67     
Joseph Wilson           92        65        63        73.33     
Mary Sutton             64        83        52        66.33     
Robert Lamb             62        69        95        75.33     
Kelly Deleon            100       57        64        73.67     
Julie Bernard           85        71        81        79.00     
Lucas Donaldson         52        78        56        62.00     
Melissa Espinoza        87        74        98        86.33     
Taylor Beck             65        88        98        83.67     
Paul Patterson          80        50        96        75.33     
Briana Macdonald        70        74        68        70.67     
William Williams        52        56        71        59.67     
Lisa Ayala              51        95        56        67.33     
Sandra Bradford         59        98        84        80.33     
Sean Cooke              65        62        79        68.67     
Shawn Pennington        53        79        51        61.00     
Melissa Torres          57        59        64        60.00     
Anthony Armstrong       98        66        69        77.67     
Jacqueline Santana      99        62        91        84.00     
Steven Horton           55        83        80        72.67     
Jeffery Morse           60        61        67        62.67     
Ashley Wallace          92        65        68        75.00     
Jacob Nguyen            64        62        88        71.33     
Joseph Spencer          79        57        62        66.00     
April Kramer            93        66        64        74.33     
Keith Norton            90        53        63        68.67     
Frederick Zuniga        86        86        87        86.33     
